id,name,category,role,audience,recommendedPlacement,recommendedWidth,src,alt,width,height,bytes,tags
pivya-logo,PIVYA logo,Brand,PIVYA brand logo,HCP + Pharmacy,Header or brand lockup,180,assets/brand/pivya-logo.png,PIVYA logo,420,140,12683,brand logo
alembic-logo,Alembic Therapeutics logo,Brand,Alembic company logo,HCP + Pharmacy,Footer or company identification,150,assets/brand/alembic-logo.png,Alembic Therapeutics logo,380,112,18631,brand logo
packshot,PIVYA 185 mg packshot,Product,PIVYA product packshot,HCP + Pharmacy,Hero or product section,235,assets/product/pivya-packshot.png,PIVYA 185 mg pivmecillinam tablets,470,265,55610,product pack
trial1,Trial 1 · PIVYA vs placebo,Clinical Data,Clinical evidence chart,HCP,Clinical evidence section,544,assets/clinical/trial-1-placebo-response-rates.png,"Composite, clinical, and microbiological response rates in Trial 1",980,259,52288,trial efficacy placebo
trial2,Trial 2 · PIVYA vs cephalexin,Clinical Data,Clinical evidence chart,HCP,Clinical evidence section,544,assets/clinical/trial-2-cephalexin-response-rates.png,"Composite, clinical, and microbiological response rates in Trial 2",980,239,57788,trial efficacy cephalexin
trial4,Trial 4 · PIVYA vs ibuprofen,Clinical Data,Clinical evidence chart,HCP,Clinical evidence section,544,assets/clinical/trial-4-ibuprofen-response-rates.png,"Composite, clinical, and microbiological response rates in Trial 4",980,239,46213,trial efficacy ibuprofen
efficacy,Clinical efficacy overview,Clinical Data,Clinical efficacy overview,HCP,Clinical evidence section,480,assets/clinical/clinical-efficacy-overview.png,PIVYA clinical efficacy overview,720,1080,141418,clinical efficacy
dosing-overview,Dosing overview,Dosing,Dosing overview,HCP,Dosing section,480,assets/dosing/dosing-overview.png,PIVYA dosing overview,720,1080,170081,dosing
dosing-summary,3 to 7 day dosing summary,Dosing,Dosing summary,HCP,Dosing section,544,assets/dosing/dosing-3-to-7-days-summary.png,PIVYA dosing: 1 tablet 3 times daily for 3 to 7 days as clinically indicated,816,209,41271,dosing 3 days 7 days
timeline,Clinical history timeline,Dosing,Clinical history timeline,HCP,Clinical context or history section,544,assets/dosing/approval-and-use-timeline.png,PIVYA clinical history timeline,980,234,49924,history approval
targeted-banner,Targeted-spectrum banner,Mechanism,Targeted-spectrum banner,HCP,Mechanism or targeted-spectrum section,544,assets/mechanism/targeted-spectrum-banner.png,Targeted-spectrum treatment graphic,980,246,64905,targeted spectrum
bacteria-visual,Bacteria target visual,Mechanism,Mechanism illustration,HCP,Mechanism section,360,assets/mechanism/bacteria-target-visual.png,Illustrative bacteria targeting visual,500,628,172499,bacteria mechanism target
access-daw,Access and DAW overview,Patient Access,Patient access overview,HCP + Pharmacy,Patient access section,520,assets/access/access-and-daw-overview.png,PIVYA access and DAW overview,780,585,68638,access DAW
savings-panel,Savings card panel,Patient Access,Savings program panel,HCP + Pharmacy,Patient access or savings section,300,assets/access/pivya-savings-card-panel.png,PIVYA Savings Program information,450,753,91744,savings copay
resistance-panel,Predictable option in resistance landscape,Resistance,Resistance narrative panel,HCP,Resistance evidence section,360,assets/resistance/predictable-option-resistance-panel.png,PIVYA resistance landscape messaging,500,665,84841,resistance landscape
empiric-panel,1 in 5 ineffective empiric therapy panel,Resistance,Resistance / empiric therapy panel,HCP,Resistance evidence section,360,assets/resistance/ineffective-empiric-therapy-panel.png,Ineffective empiric therapy and antibiotic resistance messaging,500,634,101778,resistance empiric therapy
leah,Patient profile · Leah,Patient Profiles,Patient profile,HCP,Patient profile section,420,assets/patients/patient-profile-leah.png,Patient profile: Leah,630,736,110900,patient profile
sarah,Patient profile · Sarah,Patient Profiles,Patient profile,HCP,Patient profile section,420,assets/patients/patient-profile-sarah.png,Patient profile: Sarah,630,756,142174,patient profile
cta-banner,Targeted uUTI care CTA banner,Brand,Campaign CTA banner,HCP + Pharmacy,CTA or closing section,544,assets/brand/targeted-uti-cta-banner.png,Join the movement toward targeted uUTI care with PIVYA,816,90,21001,CTA banner
scandinavian-stability-infographic,Scandinavian susceptibility stability infographic,Resistance,Resistance and long-term use infographic,HCP,Resistance section or clinical history section,520,assets/resistance/scandinavian-susceptibility-stability-infographic.png,"Infographic showing decades of pivmecillinam use and stable E. coli mecillinam susceptibility in Denmark, Norway, and Sweden from 2010 to 2020",780,974,135729,resistance susceptibility stability Scandinavia Denmark Norway Sweden infographic mecillinam pivmecillinam
pivya-targeting-infographic,PIVYA targeting infographic,Mechanism,Targeting infographic,HCP,Mechanism or clinical overview section,520,assets/mechanism/pivya-targeting-infographic.png,"Infographic highlighting that PIVYA is a penicillin-class antibacterial with low resistance development for treating uUTIs in adult females and a targeted-spectrum beta-lactam antibiotic for susceptible strains of E. coli, P. mirabilis, and S. saprophyticus.",816,376,60988,pivya targeting infographic beta-lactam penicillin class mechanism uUTI susceptible strains
ciprofloxacin-otic-packshot,"Ciprofloxacin Otic Solution, 0.2% packshot",Product,Ciprofloxacin Otic Solution product packshot,Pharmacy,Ciprofloxacin hero or product-details section,195,assets/product/ciprofloxacin-otic-packshot.png,"Ciprofloxacin Otic Solution, 0.2% carton",420,691,72623,ciprofloxacin otic solution product pack carton pharmacy
